1|100g|5 000169 011416|119|28|0.8|6|6|0.1|0|1.1|0
2|100g|5 000169 657461|119|28|0.8|6|6|0.1|0|2.3|0
3|135g serving|5 000119 105417|203|47|0.4|11.5|11.5|0|0|1.9|0
4|100g serving|5 000119 105417|150|35|0.3|8.5|8.5|0|0|1.4|0
5|100g|1003 8772|152|36|0.4|8.3|8.3|0.1|0|2.2|0
6|100g|5 000169 302002|215|51|0.9|11.5|11.5|0.1|0|1.6|0
7|500g|5 017174 954850|1326|314|2.1|64.6|66.7|5|4.1|6.6|0.01
8|100g|5 000169 028827|310|73|2.1|15.7|0.6|0.2|0|1.3|0
9|100g|5 017174 954843|2164|520|9.3|35.7|23.7|37.4|16.4|6.2|0.19
10|100g|5 017174 948989|2732|662|16|5.6|3.4|63.9|9.1|5.6|0.03
11|100g|0103 1515|206|49|0.5|11.4|11.4|0.1|0|2|0
12|100g|5 011609 219507|183.7|43.3|0.6|10|0|0.1|0|0|0
13|bar|5 000169 940372|384|91|1.1|19.6|9.2|0.9|0.2|0.7|0
14|100g|5 000169 940372|1537|363|4.5|78.3|36.9|3.5|0.7|2.9|0.13
15|bar|5 000169 901687|377|89|1.2|19.2|7.2|0.8|0.3|1|0
16|100g|5 000169 901687|1509|356|4.9|76.9|28.6|3.2|1|3.8|0.17
17|bar|t17|388|92|1.2|19.8|7.4|0.8|0.3|0.8|0
18|100g|t17|1554|367|4.9|79.3|29.7|3.3|1|3.3|0.2
19|bar|5 010477 311948|634|151|2.7|18.9|9.2|7.2|2|2.6|0.07
20|100g|5 010477 311948|1907|455|8|56.7|27.6|21.8|6.1|7.8|0.2
21|33g bar|5 010477 313287|513|122|1.7|21.3|10.2|3.3|0.8|2.1|0.02
22|100g|5 010477 313287|1540|365|5|63.8|30.7|10|2.5|6.3|0.06
23|33g bar|5 010477 313263|513|122|1.7|21.3|10.2|3.3|0.8|2.1|0.02
24|100g|5 010477 313263|1540|365|5|63.8|30.7|10|2.5|6.3|0.06
25|100g|5 022129 044371|410|1716|9.6|58.5|35.1|15.3|4.5|5.6|0.09
26|42.5 bar|5 022129 044371|174|729|4.1|24.9|14.9|6.5|1.9|2.4|0
27|100g|5 022129 098084|332|1396|5|65.1|40.8|5.7|3.3|3|0.09
28|42.5 bar|5 022129 098084|141|593|2.12|27.7|17.3|2.42|1.4|1.27|0.04
29| bar|5 000168 106311|618|147|1.9|23.9|15.2|4.8|2.2|0.8|0.1
30|100g|5 000168 106311|1765|419|5.4|68.3|43.3|13.8|6.4|2.3|0.2
31| 22g bar|5 000108 025351|395|94|1.1|15|5.9|3.3|2.1|0.7|0.1
32|100g|5 000108 025351|1800|427|5|68|27|15|9.5|3|0.3
33|37g bar|5 010204 520360|564|134|1.3|25.3|17.2|3|1.5|0.9|0.1
34|100g|5 010204 520360|1525|361|3.6|68.5|46.5|8.1|4.1|2.4|0.2
35|25g bar|5 010204 720296|394|93|1.4|19.2|7.9|1.2|0.5|0.5|0.1
36|100g|5 010204 720296|1577|372|5.5|76.6|31.6|4.9|1.8|2|0.2
37|30g bar|0 061589 112768|480|115|1.8|21.9|8.2|2.5|0.4|1.2|0.1
38|100g|0 061589 112768|1610|384|6|73|27.4|8.3|1.4|3.9|0.2
39|30g bar|0 061589 112775|480|115|1.8|21.9|8.2|2.5|0.4|1|0.1
40|100g|0 061589 112775|1600|382|6|73.1|27.4|8.3|1.4|3.1|0.2
41|100g|5 000108 025375|1780|425|6|67|27|15.5|9.5|3.5|0.3
42|22g bar|5 000108 025375|390|94|1.3|14.7|5.9|3.4|2.1|0.8|0.1
43|33.3 g bar|5 010477 310422|523|124|1.4|23.7|12.9|2.6|0.6|0.7|0.03
44|100 g|5 010477 310422|1572|372|4.2|71.1|38.7|7.9|1.8|2.2|0.1
45|33.3 g bar|5 101477 311924|523|126|1.6|23.4|13.3|2.9|0.7|1.4|0.01
46|100g|5 101477 311924|1597|378|5|70.3|39.9|8.6|2|4.1|0.03
47|33.3g bar|5 010477 318435|541|128|1.7|22.9|11.3|3.3|0.4|1.9|0.01
48|100g|5 010477 318435|1624|385|5.1|68.9|33.9|9.9|1.2|5.8|0.03
49|bar|5 010204 802565|335|79|1.4|17.1|6.6|0.6|0.2|2.2|0.1
50|100g|5 010204 802565|1338|316|5.5|68.2|26.3|2.3|0.6|8.6|0.3
51|pot|5 000169 007570|662|156|6.3|31.7|30.8|0.5|0.3|0|0.1
52|100g|5 000169 007570|441|104|4.2|21.1|20.5|0.3|0.2|0|0.07
53|100 g|5 000118 050251|1351|328|0.1|3.2|0.2|35|8|0.3|0.7
